Cured,Date,Deaths,Foreigner,Indian,State/UnionTerritory
0,2020-01-30,0,0,1,Kerala
0,2020-01-31,0,0,1,Kerala
0,2020-02-01,0,0,2,Kerala
0,2020-02-02,0,0,3,Kerala
0,2020-02-03,0,0,3,Kerala
0,2020-02-04,0,0,3,Kerala
0,2020-02-05,0,0,3,Kerala
0,2020-02-06,0,0,3,Kerala
0,2020-02-07,0,0,3,Kerala
0,2020-02-08,0,0,3,Kerala
0,2020-02-09,0,0,3,Kerala
0,2020-02-10,0,0,3,Kerala
0,2020-02-11,0,0,3,Kerala
0,2020-02-12,0,0,3,Kerala
0,2020-02-13,0,0,3,Kerala
0,2020-02-14,0,0,3,Kerala
0,2020-02-15,0,0,3,Kerala
0,2020-02-16,0,0,3,Kerala
0,2020-02-17,0,0,3,Kerala
0,2020-02-18,0,0,3,Kerala
0,2020-02-19,0,0,3,Kerala
0,2020-02-20,0,0,3,Kerala
0,2020-02-21,0,0,3,Kerala
0,2020-02-22,0,0,3,Kerala
0,2020-02-23,0,0,3,Kerala
0,2020-02-24,0,0,3,Kerala
0,2020-02-25,0,0,3,Kerala
0,2020-02-26,0,0,3,Kerala
0,2020-02-27,0,0,3,Kerala
0,2020-02-28,0,0,3,Kerala
0,2020-02-29,0,0,3,Kerala
0,2020-03-01,0,0,3,Kerala
0,2020-03-02,0,0,1,Telengana
0,2020-03-02,0,0,3,Kerala
0,2020-03-02,0,0,1,Delhi
0,2020-03-03,0,0,1,Telengana
0,2020-03-03,0,1,0,Rajasthan
3,2020-03-03,0,0,3,Kerala
0,2020-03-03,0,0,1,Delhi
0,2020-03-04,0,0,6,Uttar Pradesh
3,2020-03-04,0,0,3,Kerala
0,2020-03-04,0,2,0,Haryana
0,2020-03-04,0,0,1,Delhi
0,2020-03-04,0,0,1,Telengana
0,2020-03-04,0,14,1,Rajasthan
0,2020-03-05,0,0,2,Delhi
0,2020-03-05,0,2,0,Haryana
3,2020-03-05,0,0,3,Kerala
0,2020-03-05,0,14,1,Rajasthan
0,2020-03-05,0,0,1,Telengana
0,2020-03-05,0,0,7,Uttar Pradesh
0,2020-03-06,0,0,3,Delhi
0,2020-03-06,0,2,0,Haryana
3,2020-03-06,0,0,3,Kerala
0,2020-03-06,0,14,1,Rajasthan
0,2020-03-06,0,0,7,Uttar Pradesh
0,2020-03-06,0,0,1,Telengana
3,2020-03-07,0,0,3,Kerala
0,2020-03-07,0,0,7,Uttar Pradesh
0,2020-03-07,0,0,2,Union Territory of Ladakh
0,2020-03-07,0,0,1,Telengana
0,2020-03-07,0,0,1,Tamil Nadu
0,2020-03-07,0,0,3,Delhi
0,2020-03-07,0,2,0,Haryana
0,2020-03-07,0,14,1,Rajasthan
0,2020-03-08,0,0,2,Union Territory of Ladakh
0,2020-03-08,0,0,1,Telengana
0,2020-03-08,0,0,1,Tamil Nadu
0,2020-03-08,0,14,1,Rajasthan
3,2020-03-08,0,0,8,Kerala
0,2020-03-08,0,2,0,Haryana
0,2020-03-08,0,0,3,Delhi
0,2020-03-08,0,0,7,Uttar Pradesh
0,2020-03-09,0,0,2,Union Territory of Ladakh
0,2020-03-09,0,0,1,Karnataka
3,2020-03-09,0,0,9,Kerala
0,2020-03-09,0,0,2,Maharashtra
0,2020-03-09,0,0,1,Punjab
0,2020-03-09,0,14,1,Rajasthan
0,2020-03-09,0,0,1,Tamil Nadu
0,2020-03-09,0,0,1,Telengana
0,2020-03-09,0,0,1,Union Territory of Jammu and Kashmir
0,2020-03-09,0,0,7,Uttar Pradesh
0,2020-03-09,0,2,0,Haryana
0,2020-03-09,0,0,4,Delhi
0,2020-03-10,0,0,7,Uttar Pradesh
0,2020-03-10,0,0,2,Union Territory of Ladakh
0,2020-03-10,0,0,4,Delhi
0,2020-03-10,0,2,0,Haryana
0,2020-03-10,0,0,4,Karnataka
3,2020-03-10,0,0,15,Kerala
0,2020-03-10,0,0,5,Maharashtra
0,2020-03-10,0,0,1,Punjab
0,2020-03-10,0,14,1,Rajasthan
0,2020-03-10,0,0,1,Tamil Nadu
0,2020-03-10,0,0,1,Telengana
0,2020-03-10,0,0,1,Union Territory of Jammu and Kashmir
0,2020-03-11,0,0,2,Maharashtra
0,2020-03-11,0,0,5,Delhi
0,2020-03-11,0,14,0,Haryana
3,2020-03-11,0,0,17,Kerala
0,2020-03-11,0,2,1,Rajasthan
0,2020-03-11,0,0,1,Telengana
0,2020-03-11,0,0,9,Uttar Pradesh
0,2020-03-11,0,0,2,Union Territory of Ladakh
0,2020-03-11,0,0,1,Tamil Nadu
0,2020-03-11,0,0,1,Union Territory of Jammu and Kashmir
0,2020-03-11,0,0,1,Punjab
0,2020-03-11,0,0,4,Karnataka
0,2020-03-12,0,0,6,Delhi
0,2020-03-12,0,14,0,Haryana
3,2020-03-12,0,0,17,Kerala
0,2020-03-12,0,2,1,Rajasthan
0,2020-03-12,0,0,1,Telengana
0,2020-03-12,0,1,10,Uttar Pradesh
0,2020-03-12,0,0,3,Union Territory of Ladakh
0,2020-03-12,0,0,1,Tamil Nadu
0,2020-03-12,0,0,1,Union Territory of Jammu and Kashmir
0,2020-03-12,0,0,1,Punjab
0,2020-03-12,0,0,4,Karnataka
0,2020-03-12,0,0,11,Maharashtra
0,2020-03-12,0,0,1,Andhra Pradesh
0,2020-03-13,0,0,6,Delhi
0,2020-03-13,0,14,0,Haryana
3,2020-03-13,0,0,19,Kerala
0,2020-03-13,0,2,1,Rajasthan
0,2020-03-13,0,0,1,Telengana
0,2020-03-13,0,1,10,Uttar Pradesh
0,2020-03-13,0,0,3,Union Territory of Ladakh
0,2020-03-13,0,0,1,Tamil Nadu
0,2020-03-13,0,0,1,Union Territory of Jammu and Kashmir
0,2020-03-13,0,0,1,Punjab
0,2020-03-13,1,0,6,Karnataka
0,2020-03-13,0,0,14,Maharashtra
0,2020-03-13,0,0,1,Andhra Pradesh
1,2020-03-14,1,0,7,Delhi
0,2020-03-14,0,14,0,Haryana
3,2020-03-14,0,0,19,Kerala
1,2020-03-14,0,2,1,Rajasthan
0,2020-03-14,0,0,1,Telengana
5,2020-03-14,0,1,11,Uttar Pradesh
0,2020-03-14,0,0,3,Union Territory of Ladakh
0,2020-03-14,0,0,1,Tamil Nadu
0,2020-03-14,0,0,2,Union Territory of Jammu and Kashmir
0,2020-03-14,0,0,1,Punjab
0,2020-03-14,1,0,6,Karnataka
0,2020-03-14,0,0,14,Maharashtra
0,2020-03-14,0,0,1,Andhra Pradesh
0,2020-03-15,0,0,1,Andhra Pradesh
2,2020-03-15,1,0,7,Delhi
0,2020-03-15,0,14,0,Haryana
0,2020-03-15,1,0,6,Karnataka
3,2020-03-15,0,0,22,Kerala
0,2020-03-15,0,0,32,Maharashtra
0,2020-03-15,0,0,1,Punjab
3,2020-03-15,0,2,2,Rajasthan
0,2020-03-15,0,0,1,Tamil Nadu
1,2020-03-15,0,0,3,Telengana
0,2020-03-15,0,0,2,Union Territory of Jammu and Kashmir
0,2020-03-15,0,0,3,Union Territory of Ladakh
4,2020-03-15,0,1,12,Uttar Pradesh
0,2020-03-15,0,0,1,Uttarakhand
0,2020-03-16,0,0,1,Andhra Pradesh
2,2020-03-16,1,0,7,Delhi
0,2020-03-16,0,14,0,Haryana
0,2020-03-16,1,0,6,Karnataka
3,2020-03-16,0,0,23,Kerala
0,2020-03-16,0,0,32,Maharashtra
0,2020-03-16,0,0,1,Odisha
0,2020-03-16,0,0,1,Punjab
3,2020-03-16,0,2,2,Rajasthan
0,2020-03-16,0,0,1,Tamil Nadu
1,2020-03-16,0,0,3,Telengana
0,2020-03-16,0,0,3,Union Territory of Jammu and Kashmir
0,2020-03-16,0,0,4,Union Territory of Ladakh
4,2020-03-16,0,1,12,Uttar Pradesh
0,2020-03-16,0,0,1,Uttarakhand
0,2020-03-17,0,0,1,Andhra Pradesh
2,2020-03-17,1,0,8,Delhi
