Cured,Date,Deaths,State/UnionTerritory,Total_cases
0,2020-01-30,0,Kerala,1
0,2020-01-31,0,Kerala,1
0,2020-02-01,0,Kerala,2
0,2020-02-02,0,Kerala,3
0,2020-02-03,0,Kerala,3
0,2020-02-04,0,Kerala,3
0,2020-02-05,0,Kerala,3
0,2020-02-06,0,Kerala,3
0,2020-02-07,0,Kerala,3
0,2020-02-08,0,Kerala,3
0,2020-02-09,0,Kerala,3
0,2020-02-10,0,Kerala,3
0,2020-02-11,0,Kerala,3
0,2020-02-12,0,Kerala,3
0,2020-02-13,0,Kerala,3
0,2020-02-14,0,Kerala,3
0,2020-02-15,0,Kerala,3
0,2020-02-16,0,Kerala,3
0,2020-02-17,0,Kerala,3
0,2020-02-18,0,Kerala,3
0,2020-02-19,0,Kerala,3
0,2020-02-20,0,Kerala,3
0,2020-02-21,0,Kerala,3
0,2020-02-22,0,Kerala,3
0,2020-02-23,0,Kerala,3
0,2020-02-24,0,Kerala,3
0,2020-02-25,0,Kerala,3
0,2020-02-26,0,Kerala,3
0,2020-02-27,0,Kerala,3
0,2020-02-28,0,Kerala,3
0,2020-02-29,0,Kerala,3
0,2020-03-01,0,Kerala,3
0,2020-03-02,0,Telengana,1
0,2020-03-02,0,Kerala,3
0,2020-03-02,0,Delhi,1
0,2020-03-03,0,Telengana,1
0,2020-03-03,0,Rajasthan,1
3,2020-03-03,0,Kerala,3
0,2020-03-03,0,Delhi,1
0,2020-03-04,0,Uttar Pradesh,6
3,2020-03-04,0,Kerala,3
0,2020-03-04,0,Haryana,2
0,2020-03-04,0,Delhi,1
0,2020-03-04,0,Telengana,1
0,2020-03-04,0,Rajasthan,15
0,2020-03-05,0,Delhi,2
0,2020-03-05,0,Haryana,2
3,2020-03-05,0,Kerala,3
0,2020-03-05,0,Rajasthan,15
0,2020-03-05,0,Telengana,1
0,2020-03-05,0,Uttar Pradesh,7
0,2020-03-06,0,Delhi,3
0,2020-03-06,0,Haryana,2
3,2020-03-06,0,Kerala,3
0,2020-03-06,0,Rajasthan,15
0,2020-03-06,0,Uttar Pradesh,7
0,2020-03-06,0,Telengana,1
3,2020-03-07,0,Kerala,3
0,2020-03-07,0,Uttar Pradesh,7
0,2020-03-07,0,Union Territory of Ladakh,2
0,2020-03-07,0,Telengana,1
0,2020-03-07,0,Tamil Nadu,1
0,2020-03-07,0,Delhi,3
0,2020-03-07,0,Haryana,2
0,2020-03-07,0,Rajasthan,15
0,2020-03-08,0,Union Territory of Ladakh,2
0,2020-03-08,0,Telengana,1
0,2020-03-08,0,Tamil Nadu,1
0,2020-03-08,0,Rajasthan,15
3,2020-03-08,0,Kerala,8
0,2020-03-08,0,Haryana,2
0,2020-03-08,0,Delhi,3
0,2020-03-08,0,Uttar Pradesh,7
0,2020-03-09,0,Union Territory of Ladakh,2
0,2020-03-09,0,Karnataka,1
3,2020-03-09,0,Kerala,9
0,2020-03-09,0,Maharashtra,2
0,2020-03-09,0,Punjab,1
0,2020-03-09,0,Rajasthan,15
0,2020-03-09,0,Tamil Nadu,1
0,2020-03-09,0,Telengana,1
0,2020-03-09,0,Union Territory of Jammu and Kashmir,1
0,2020-03-09,0,Uttar Pradesh,7
0,2020-03-09,0,Haryana,2
0,2020-03-09,0,Delhi,4
0,2020-03-10,0,Uttar Pradesh,7
0,2020-03-10,0,Union Territory of Ladakh,2
0,2020-03-10,0,Delhi,4
0,2020-03-10,0,Haryana,2
0,2020-03-10,0,Karnataka,4
3,2020-03-10,0,Kerala,15
0,2020-03-10,0,Maharashtra,5
0,2020-03-10,0,Punjab,1
0,2020-03-10,0,Rajasthan,15
0,2020-03-10,0,Tamil Nadu,1
0,2020-03-10,0,Telengana,1
0,2020-03-10,0,Union Territory of Jammu and Kashmir,1
0,2020-03-11,0,Maharashtra,2
0,2020-03-11,0,Delhi,5
0,2020-03-11,0,Haryana,14
3,2020-03-11,0,Kerala,17
0,2020-03-11,0,Rajasthan,3
0,2020-03-11,0,Telengana,1
0,2020-03-11,0,Uttar Pradesh,9
0,2020-03-11,0,Union Territory of Ladakh,2
0,2020-03-11,0,Tamil Nadu,1
0,2020-03-11,0,Union Territory of Jammu and Kashmir,1
0,2020-03-11,0,Punjab,1
0,2020-03-11,0,Karnataka,4
0,2020-03-12,0,Delhi,6
0,2020-03-12,0,Haryana,14
3,2020-03-12,0,Kerala,17
0,2020-03-12,0,Rajasthan,3
0,2020-03-12,0,Telengana,1
0,2020-03-12,0,Uttar Pradesh,11
0,2020-03-12,0,Union Territory of Ladakh,3
0,2020-03-12,0,Tamil Nadu,1
0,2020-03-12,0,Union Territory of Jammu and Kashmir,1
0,2020-03-12,0,Punjab,1
0,2020-03-12,0,Karnataka,4
0,2020-03-12,0,Maharashtra,11
0,2020-03-12,0,Andhra Pradesh,1
0,2020-03-13,0,Delhi,6
0,2020-03-13,0,Haryana,14
3,2020-03-13,0,Kerala,19
0,2020-03-13,0,Rajasthan,3
0,2020-03-13,0,Telengana,1
0,2020-03-13,0,Uttar Pradesh,11
0,2020-03-13,0,Union Territory of Ladakh,3
0,2020-03-13,0,Tamil Nadu,1
0,2020-03-13,0,Union Territory of Jammu and Kashmir,1
0,2020-03-13,0,Punjab,1
0,2020-03-13,1,Karnataka,6
0,2020-03-13,0,Maharashtra,14
0,2020-03-13,0,Andhra Pradesh,1
1,2020-03-14,1,Delhi,7
0,2020-03-14,0,Haryana,14
3,2020-03-14,0,Kerala,19
1,2020-03-14,0,Rajasthan,3
0,2020-03-14,0,Telengana,1
5,2020-03-14,0,Uttar Pradesh,12
0,2020-03-14,0,Union Territory of Ladakh,3
0,2020-03-14,0,Tamil Nadu,1
0,2020-03-14,0,Union Territory of Jammu and Kashmir,2
0,2020-03-14,0,Punjab,1
0,2020-03-14,1,Karnataka,6
0,2020-03-14,0,Maharashtra,14
0,2020-03-14,0,Andhra Pradesh,1
0,2020-03-15,0,Andhra Pradesh,1
2,2020-03-15,1,Delhi,7
0,2020-03-15,0,Haryana,14
0,2020-03-15,1,Karnataka,6
3,2020-03-15,0,Kerala,22
0,2020-03-15,0,Maharashtra,32
0,2020-03-15,0,Punjab,1
3,2020-03-15,0,Rajasthan,4
0,2020-03-15,0,Tamil Nadu,1
1,2020-03-15,0,Telengana,3
0,2020-03-15,0,Union Territory of Jammu and Kashmir,2
0,2020-03-15,0,Union Territory of Ladakh,3
4,2020-03-15,0,Uttar Pradesh,13
0,2020-03-15,0,Uttarakhand,1
0,2020-03-16,0,Andhra Pradesh,1
2,2020-03-16,1,Delhi,7
0,2020-03-16,0,Haryana,14
0,2020-03-16,1,Karnataka,6
3,2020-03-16,0,Kerala,23
0,2020-03-16,0,Maharashtra,32
0,2020-03-16,0,Odisha,1
0,2020-03-16,0,Punjab,1
3,2020-03-16,0,Rajasthan,4
0,2020-03-16,0,Tamil Nadu,1
1,2020-03-16,0,Telengana,3
0,2020-03-16,0,Union Territory of Jammu and Kashmir,3
0,2020-03-16,0,Union Territory of Ladakh,4
4,2020-03-16,0,Uttar Pradesh,13
0,2020-03-16,0,Uttarakhand,1
0,2020-03-17,0,Andhra Pradesh,1
2,2020-03-17,1,Delhi,8
0,2020-03-17,0,Haryana,15
0,2020-03-17,1,Karnataka,11
3,2020-03-17,0,Kerala,26
0,2020-03-17,1,Maharashtra,39
0,2020-03-17,0,Odisha,1
0,2020-03-17,0,Punjab,1
3,2020-03-17,0,Rajasthan,4
0,2020-03-17,0,Tamil Nadu,1
1,2020-03-17,0,Telengana,5
0,2020-03-17,0,Union Territory of Jammu and Kashmir,3
0,2020-03-17,0,Union Territory of Ladakh,6
5,2020-03-17,0,Uttar Pradesh,15
0,2020-03-17,0,Uttarakhand,1
0,2020-03-18,0,Andhra Pradesh,1
2,2020-03-18,1,Delhi,10
0,2020-03-18,0,Haryana,17
0,2020-03-18,1,Karnataka,11
3,2020-03-18,0,Kerala,27
0,2020-03-18,1,Maharashtra,42
0,2020-03-18,0,Odisha,1
0,2020-03-18,0,Pondicherry,1
0,2020-03-18,0,Punjab,1
3,2020-03-18,0,Rajasthan,4
0,2020-03-18,0,Tamil Nadu,1
1,2020-03-18,0,Telengana,6
0,2020-03-18,0,Union Territory of Jammu and Kashmir,3
0,2020-03-18,0,Union Territory of Ladakh,8
5,2020-03-18,0,Uttar Pradesh,16
0,2020-03-18,0,Uttarakhand,1
0,2020-03-18,0,West Bengal,1
0,2020-03-19,0,Andhra Pradesh,2
0,2020-03-19,0,Chattisgarh,1
3,2020-03-19,1,Delhi,12
0,2020-03-19,0,Haryana,17
0,2020-03-19,1,Karnataka,14
3,2020-03-19,0,Kerala,27
0,2020-03-19,1,Maharashtra,47
0,2020-03-19,0,Odisha,1
0,2020-03-19,0,Pondicherry,1
0,2020-03-19,1,Punjab,2
3,2020-03-19,0,Rajasthan,7
1,2020-03-19,0,Tamil Nadu,2
1,2020-03-19,0,Telengana,6
0,2020-03-19,0,Union Territory of Chandigarh,1
0,2020-03-19,0,Union Territory of Jammu and Kashmir,4
0,2020-03-19,0,Union Territory of Ladakh,8
9,2020-03-19,0,Uttar Pradesh,19
0,2020-03-19,0,Uttarakhand,1
0,2020-03-19,0,West Bengal,1
0,2020-03-20,0,Andhra Pradesh,3
0,2020-03-20,0,Chhattisgarh,1
5,2020-03-20,1,Delhi,17
0,2020-03-20,0,Gujarat,5
0,2020-03-20,0,Haryana,17
1,2020-03-20,1,Karnataka,15
3,2020-03-20,0,Kerala,28
0,2020-03-20,1,Maharashtra,52
0,2020-03-20,0,Odisha,2
0,2020-03-20,0,Puducherry,1
0,2020-03-20,1,Punjab,2
3,2020-03-20,0,Rajasthan,17
1,2020-03-20,0,Tamil Nadu,3
1,2020-03-20,0,Telengana,17
0,2020-03-20,0,Union Territory of Chandigarh,1
0,2020-03-20,0,Union Territory of Jammu and Kashmir,4
0,2020-03-20,0,Union Territory of Ladakh,10
9,2020-03-20,0,Uttar Pradesh,23
0,2020-03-20,0,Uttarakhand,3
0,2020-03-20,0,West Bengal,2
0,2020-03-21,0,Andhra Pradesh,3
0,2020-03-21,0,Chhattisgarh,1
5,2020-03-21,1,Delhi,26
0,2020-03-21,0,Gujarat,7
0,2020-03-21,0,Haryana,17
0,2020-03-21,0,Himachal Pradesh,2
1,2020-03-21,1,Karnataka,15
3,2020-03-21,0,Kerala,40
0,2020-03-21,0,Madhya Pradesh,4
0,2020-03-21,1,Maharashtra,63
0,2020-03-21,0,Odisha,2
0,2020-03-21,0,Puducherry,1
0,2020-03-21,1,Punjab,13
3,2020-03-21,0,Rajasthan,17
1,2020-03-21,0,Tamil Nadu,3
1,2020-03-21,0,Telengana,21
0,2020-03-21,0,Chandigarh,1
0,2020-03-21,0,Jammu and Kashmir,4
0,2020-03-21,0,Ladakh,13
9,2020-03-21,0,Uttar Pradesh,24
0,2020-03-21,0,Uttarakhand,3
0,2020-03-21,0,West Bengal,3
0,2020-03-22,0,Andhra Pradesh,5
0,2020-03-22,1,Bihar,2
0,2020-03-22,0,Chhattisgarh,1
5,2020-03-22,1,Delhi,29
0,2020-03-22,1,Gujarat,18
0,2020-03-22,0,Haryana,21
0,2020-03-22,0,Himachal Pradesh,2
2,2020-03-22,1,Karnataka,26
3,2020-03-22,0,Kerala,52
0,2020-03-22,0,Madhya Pradesh,4
0,2020-03-22,2,Maharashtra,67
0,2020-03-22,0,Odisha,2
0,2020-03-22,0,Puducherry,1
0,2020-03-22,1,Punjab,21
3,2020-03-22,0,Rajasthan,24
1,2020-03-22,0,Tamil Nadu,7
1,2020-03-22,0,Telengana,22
0,2020-03-22,0,Chandigarh,5
0,2020-03-22,0,Jammu and Kashmir,4
0,2020-03-22,0,Ladakh,13
9,2020-03-22,0,Uttar Pradesh,27
0,2020-03-22,0,Uttarakhand,3
0,2020-03-22,0,West Bengal,4
0,2020-03-23,0,Andhra Pradesh,7
0,2020-03-23,1,Bihar,2
0,2020-03-23,0,Chhattisgarh,1
5,2020-03-23,1,Delhi,29
0,2020-03-23,1,Gujarat,29
0,2020-03-23,0,Haryana,26
0,2020-03-23,0,Himachal Pradesh,2
2,2020-03-23,1,Karnataka,33
3,2020-03-23,0,Kerala,67
0,2020-03-23,0,Madhya Pradesh,6
0,2020-03-23,2,Maharashtra,74
0,2020-03-23,0,Odisha,2
0,2020-03-23,0,Puducherry,1
0,2020-03-23,1,Punjab,21
3,2020-03-23,0,Rajasthan,28
1,2020-03-23,0,Tamil Nadu,9
1,2020-03-23,0,Telengana,32
0,2020-03-23,0,Chandigarh,6
0,2020-03-23,0,Jammu and Kashmir,4
